Gene_Tag	ME	Syn	PA	Sites	Codons
Rv3795	190	26	164	75	69
Rv3796	18	3	15	17	17
Rv3797	46	13	33	44	41
Rv3799c	28	15	13	28	28
Rv3800c	98	44	54	97	96
Rv3801c	20	10	10	20	20
Rv3802c	14	6	8	14	12
Rv3803c	14	5	9	12	12
Rv3804c	13	4	9	13	13
Rv3805c	28	9	19	27	26
Rv3806c	30	9	21	28	24
Rv3807c	9	2	7	9	8
Rv3808c	30	11	19	29	29
Rv3809c	11	7	4	11	11
Rv3810	12	3	9	12	12
Rv3811	28	9	19	27	27
Rv3813c	11	8	3	11	11
Rv3814c	11	4	7	11	11
Rv3815c	15	7	8	15	15
Rv3816c	12	8	4	12	12
Rv3817	22	5	17	22	21
Rv3818	21	9	12	20	20
Rv3819	7	5	2	7	6
Rv3820c	27	9	18	27	26
Rv3821	13	6	7	13	13
Rv3822	35	6	29	34	34
Rv3823c	73	31	42	72	71
Rv3824c	39	12	27	38	37
Rv3825c	114	54	60	112	111
Rv3829c	32	13	19	31	30
Rv3830c	19	8	11	19	19
Rv3831	12	3	9	12	12
Rv3832c	17	7	10	17	17
Rv3833	22	6	16	21	20
Rv3834c	19	9	10	19	19
Rv3835	25	7	18	25	25
Rv3836	14	5	9	14	13
Rv3837c	22	9	13	22	22
Rv3838c	30	10	20	29	29
Rv3839	28	11	17	21	20
Rv3840	10	1	9	10	10
Rv3841	10	6	4	10	10
Rv3842c	23	4	19	22	22
Rv3843c	27	10	17	27	25
Rv3845	8	2	6	8	8
Rv3846	9	4	5	9	9
Rv3847	8	5	3	8	7
Rv3848	26	8	18	25	25
Rv3849	7	5	2	7	7
Rv3850	18	8	10	18	17
Rv3851	1	1	0	1	1
Rv3852	8	3	5	8	6
Rv3853	8	4	4	8	8
Rv3854c	87	17	70	79	74
Rv3855	16	6	10	15	14
Rv3856c	21	5	16	20	18
Rv3857c	4	3	1	4	4
Rv3858c	17	9	8	16	16
Rv3859c	70	37	33	67	67
Rv3860	38	15	23	36	34
Rv3861	12	5	7	11	11
Rv3862c	34	3	31	27	26
Rv3863	18	10	8	18	18
Rv3864	25	13	12	25	25
Rv3865	1	0	1	1	1
Rv3866	13	4	9	13	12
Rv3867	12	3	9	12	11
Rv3868	25	11	14	24	24
Rv3869	39	9	30	39	36
Rv3871	34	13	21	34	34
Rv3874	3	0	3	3	3
Rv3875	3	2	1	3	3
Rv3877	41	13	28	40	37
Rv3878	21	7	14	20	19
Rv3879c	44	12	32	43	42
Rv3880c	2	1	1	2	2
Rv3881c	39	13	26	38	37
Rv3882c	52	14	38	51	50
Rv3883c	27	9	18	27	26
Rv3884c	45	14	31	44	43
Rv3885c	41	15	26	41	41
Rv3886c	39	12	27	37	35
Rv3887c	45	16	29	43	43
Rv3888c	2	1	1	2	1
Rv3891c	1	0	1	1	1
Rv3894c	116	36	80	112	109
Rv3895c	45	11	34	43	41
Rv3896c	29	8	21	29	27
Rv3897c	17	7	10	16	16
Rv3898c	12	0	12	12	12
Rv3899c	36	11	25	36	35
Rv3900c	32	16	16	31	31
Rv3901c	9	0	9	9	9
Rv3902c	17	5	12	16	15
Rv3903c	64	21	43	64	64
Rv3904c	6	1	5	6	6
Rv3905c	5	2	3	5	5
Rv3906c	14	6	8	14	14
Rv3907c	31	16	15	30	30
Rv3908	15	5	10	15	15
Rv3909	49	18	31	48	47
Rv3910	97	41	56	94	91
Rv3911	17	3	14	16	15
Rv3912	32	8	24	30	29
Rv3913	29	17	12	28	28
Rv3914	6	4	2	6	6
Rv3915	27	14	13	27	27
Rv3916c	22	8	14	21	20
Rv3917c	28	14	14	28	27
Rv3918c	29	17	12	29	28
Rv3919c	78	14	64	70	64
Rv3920c	16	4	12	16	16
Rv3921c	25	11	14	24	24
Rv3922c	12	7	5	12	11
Rv3923c	14	5	9	14	13
Rv3924c	4	3	1	4	4
